country,fre,spa,por
Mali,Mali,Malí,Mali
Mauritania,Mauritanie,Mauritania,Mauritânia
Mozambique,Mozambique,Mozambique,Moçambique
Namibia,Namibie,Namibia,Namíbia
Niger,Niger,Níger,Níger
Nigeria,Nigeria,Nigeria,Nigéria
Rwanda,Rwanda,Ruanda,Ruanda
Sao Tome and Principe,Sao Tomé-et-Principe,Santo Tomé y Príncipe,São Tomé e Príncipe
Senegal,Sénégal,Senegal,Senegal
Seychelles,Seychelles,Seychelles,Seicheles
Sierra Leone,Sierra Leone,Sierra Leona,Serra Leoa
Somalia,Somalie,Somalia,Somália
South Sudan,Soudan du Sud,Sudán del Sur,Sudão do Sul
Sudan,Soudan,Sudán,Sudão
Swaziland,Swaziland,Suazilandia,Suazilândia
Uganda,Ouganda,Uganda,Uganda
Zambia,Zambie,Zambia,Zâmbia
Mauritius,Maurice,Mauricio,Maurícia
South Africa,Afrique du Sud,Sudáfrica,África do Sul
Togo,Togo,Togo,Togo
Albania,Albanie,Albania,Albânia
Andorra,Andorre,Andorra,Andorra
Austria,Autriche,Austria,Áustria
Armenia,Arménie,Armenia,Arménia
Belarus,Biélorussie,Bielorrusia,Bielorrússia
Belgium,Belgique,Bélgica,Bélgica
Bosnia and Herzegovina,Bosnie-Herzégovine,Bosnia y Herzegovina,Bósnia e Herzegovina
Bulgaria,Bulgarie,Bulgaria,Bulgária
Croatia,Croatie,Croacia,Croácia
Cyprus,Chypre,Chipre,Chipre
France,France,Francia,França
Czech Republic,République tchèque,República Checa,República Tcheca
Denmark,Danemark,Dinamarca,Dinamarca
Estonia,Estonie,Estonia,Estônia
Finland,Finlande,Finlandia,Finlândia
Georgia,Géorgie,Georgia,Geórgia
Germany,Allemagne,Alemania,Alemanha
Greece,Grèce,Grecia,Grécia
Holy See,Saint-Siège,Santa Sede,Santa Sé
Hungary,Hongrie,Hungría,Hungria
Iceland,Islande,Islandia,Islândia
Italy,Italie,Italia,Itália
Ireland,Irlande,Irlanda,Irlanda
Latvia,Lettonie,Letonia,Letônia
Liechenstein,Liechtenstein,Liechtenstein,Liechtenstein
Lithuania,Lituanie,Lituania,Lituânia
Luxembourg,Luxembourg,Luxemburgo,Luxemburgo
North Macedonia,Macédoine du Nord,Macedonia del Norte,Macedônia do Norte
Romania,Roumanie,Rumanía,Romênia
San Marino,Saint-Marin,San Marino,San Marino
Serbia,Serbie,Serbia,Sérvia
Slovakia,Slovaquie,Eslovaquia,Eslováquia
Slovenia,Slovénie,Eslovenia,Eslovênia
Spain,Espagne,España,Espanha
Sweden,Suède,Suecia,Suécia
Switzerland,Suisse,Suiza,Suíça
United Kingdom,Royaume-Uni,Reino Unido,Reino Unido
Malta,Malte,Malta,Malta
Monaco,Monaco,Mónaco,Mônaco
Montenegro,Monténégro,Montenegro,Montenegro
Netherlands,Pays-Bas,Países Bajos,Países Baixos
Norway,Norvège,Noruega,Noruega
Poland,Pologne,Polonia,Polônia
Portugal,Portugal,Portugal,Portugal
Republic of Moldova,République de Moldavie,República de Moldavia,República da Moldávia
Russia,Russie,Rusia,Rússia
Turkey,Turquie,Turquía,Turquia
Ukraine,Ukraine,Ucrania,Ucrânia
Barhrain,Bahreïn,Baréin,Bahrein
Egypt,Égypte,Egipto,Egito
Iraq,Irak,Irak,Iraque
Israel,Israël,Israel,Israel
Jordan,Jordanie,Jordania,Jordânia
Kuwait,Koweït,Kuwait,Kuwait
Lebanon,Liban,Líbano,Líbano
Libya,Libye,Libia,Líbia
Morocco,Maroc,Marruecos,Marrocos
State of Palestine,État de Palestine,Estado de Palestina,Estado da Palestina
Oman,Oman,Omán,Omã
Qatar,Qatar,Qatar,Catar
Saudi Arabia,Arabie saoudite,Arabia Saudí,Arábia Saudita
Syria,Syrie,Siria,Síria
Tunisia,Tunisie,Túnez,Tunísia
United Arab Emirates,Émirats arabes unis,Emiratos Árabes Unidos,Emirados Árabes Unidos
Yemen,Yémen,Yemen,Iêmen
Afghanistan,Afghanistan,Afganistán,Afeganistão
Australia,Australie,Australia,Austrália
Azerbaijan,Azerbaïdjan,Azerbaiyán,Azerbaijão
Bangladesh,Bangladesh,Bangladés,Bangladesh
Cambodia,Cambodge,Camboya,Camboja
China,Chine,China,China
Fiji,Fidji,Fiji,Fiji
Indonesia,Indonésie,Indonesia,Indonésia
Japan,Japon,Japón,Japão
Kazakhstan,Kazakhstan,Kazajistán,Cazaquistão
Kiribati,Kiribati,Kiribati,Kiribati
Kyrgyzstan,Kirghizistan,Kirguistán,Quirguistão
Lao People's Democratic Republic,République démocratique populaire lao,República Democrática Popular Lao,República Democrática Popular Lao
Marshall Islands,Îles Marshall,Islas Marshall,Ilhas Marshall
Mongolia,Mongolie,Mongolia,Mongólia
Nauru,Nauru,Nauru,Nauru
Nepal,Népal,Nepal,Nepal
New Zealand,Nouvelle-Zélande,Nueva Zelanda,Nova Zelândia
Pakistan,Pakistan,Pakistán,Paquistão
Philippines,Philippines,Filipinas,Filipinas
Republic of Korea,République de Corée,República de Corea,República da Coreia
Samoa,Samoa,Samoa,Samoa
Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
Tajikistan,Tadjikistan,Tayikistán,Tajiquistão
Thailand,Thaïlande,Tailandia,Tailândia
Timor-Leste,Timor-Leste,Timor Oriental,Timor-Leste
Turkmenistan,Turkménistan,Turkmenistán,Turquemenistão
Tuvalu,Tuvalu,Tuvalu,Tuvalu
Uzbekistan,Ouzbékistan,Uzbekistán,Uzbequistão
Vanuatu,Vanuatu,Vanuatu,Vanuatu
Viet Nam,Vietnam,Vietnam,Vietnã
